dataset,model,seed,mode,n_cert,n_cert_minority,train_ratio,n_features,clf_fit_err,clf_test_err,optimism,method,fit,Accuracy,G-Mean,F1,err_0,err_1,U_0,U_1,delta_0,delta_1,covered_0,covered_1
Cervical Cancer,GradientBoosting,3,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4464285714285714,0.29828042328042326,Min Deltas,True,0.5714285714285714,0.5297284633639759,0.45454545454545453,0.21428571428571427,0.6428571428571429,,,,,,
Cervical Cancer,GradientBoosting,3,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4464285714285714,0.29828042328042326,F Deltas,True,0.5714285714285714,0.5297284633639759,0.45454545454545453,0.21428571428571427,0.6428571428571429,,,,,,
Cervical Cancer,GradientBoosting,3,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4464285714285714,0.29828042328042326,CP Sum,True,0.5357142857142857,0.4531634835874829,0.35000000000000003,0.17857142857142858,0.75,0.0597973634485312,0.3851652785347979,0.003498499249624813,0.04847598799399701,False,False
Cervical Cancer,GradientBoosting,3,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4464285714285714,0.29828042328042326,CP Minimax,True,0.5357142857142857,0.524890659167824,0.4799999999999999,0.35714285714285715,0.5714285714285714,0.2799079179033569,0.2833831316336505,0.007496498249124564,0.0404799899949975,False,False
Cervical Cancer,GradientBoosting,3,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4464285714285714,0.29828042328042326,DKW Sum,True,0.5357142857142857,0.4531634835874829,0.35000000000000003,0.17857142857142858,0.75,0.09160506814603094,0.34110573078658424,0.00899574787393697,0.05747148574287144,False,False
Cervical Cancer,GradientBoosting,3,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4464285714285714,0.29828042328042326,DKW Minimax,True,0.5357142857142857,0.524890659167824,0.4799999999999999,0.35714285714285715,0.5714285714285714,0.2670123656323943,0.2714262743779592,0.010994747373686845,0.051474487243621816,False,False
Cervical Cancer,GradientBoosting,3,split,150,9,14.851851851851851,32,0.1111111111111111,0.4642857142857143,0.3531746031746032,Baseline,True,0.5357142857142857,0.26726124191242434,0.13333333333333333,0.0,0.9285714285714286,,,,,,
Cervical Cancer,GradientBoosting,3,split,150,9,14.851851851851851,32,0.1111111111111111,0.4642857142857143,0.3531746031746032,Threshold,True,0.5714285714285714,0.4724555912615341,0.3684210526315789,0.10714285714285714,0.75,,,,,,
Cervical Cancer,GradientBoosting,3,split,150,9,14.851851851851851,32,0.1111111111111111,0.4642857142857143,0.3531746031746032,SMOTE,True,0.5,0.30929478706587094,0.17647058823529413,0.10714285714285714,0.8928571428571429,,,,,,
Cervical Cancer,GradientBoosting,3,split,150,9,14.851851851851851,32,0.1111111111111111,0.4642857142857143,0.3531746031746032,Balanced Weights,False,,,,,,,,,,,
Cervical Cancer,GradientBoosting,3,split,150,9,14.851851851851851,32,0.1111111111111111,0.4642857142857143,0.3531746031746032,Slacks Deltas,False,,,,,,,,,,,
Cervical Cancer,GradientBoosting,3,split,150,9,14.851851851851851,32,0.1111111111111111,0.4642857142857143,0.3531746031746032,Min Deltas,False,,,,,,,,,,,
Cervical Cancer,GradientBoosting,3,split,150,9,14.851851851851851,32,0.1111111111111111,0.4642857142857143,0.3531746031746032,F Deltas,False,,,,,,,,,,,
Cervical Cancer,GradientBoosting,3,split,150,9,14.851851851851851,32,0.1111111111111111,0.4642857142857143,0.3531746031746032,CP Sum,True,0.5,0.0,0.0,0.0,1.0,0.06792444113571348,1.0,0.006996748374187095,0.0005,True,True
