dataset,model,seed,mode,method,optimism,n_cert,n_cert_minority,test_per_class,cls,covered,U,delta,nominal
Abalone Gender,LDA,2,naive,CP Sum,0.0013089005235601,840,76,764,0,1.0,0.734482608442815,0.0134934967483741,0.9865065032516259
Abalone Gender,LDA,2,naive,CP Minimax,0.0013089005235601,840,76,764,0,1.0,0.5328120577450609,0.0084959979989995,0.9915040020010005
Abalone Gender,LDA,2,naive,DKW Sum,0.0013089005235601,840,76,764,0,1.0,0.5814361111271297,0.0144929964982491,0.9855070035017509
Abalone Gender,LDA,2,naive,DKW Minimax,0.0013089005235601,840,76,764,0,0.0,0.4949032706000956,0.0119942471235617,0.9880057528764383
Abalone Gender,LDA,2,split,CP Sum,0.0124702967242497,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,LDA,2,split,CP Minimax,0.0124702967242497,294,27,764,0,1.0,0.6327289684729979,0.0189907453726863,0.9810092546273137
Abalone Gender,LDA,2,split,DKW Sum,0.0124702967242497,294,27,764,0,1.0,0.3720005786587651,0.0169917458729364,0.9830082541270636
Abalone Gender,LDA,2,split,DKW Minimax,0.0124702967242497,294,27,764,0,1.0,0.558775417755362,0.0249877438719359,0.9750122561280641
Abalone Gender,LDA,3,naive,CP Sum,0.0,840,76,764,0,1.0,0.0170551110583493,0.0014994997498749,0.998500500250125
Abalone Gender,LDA,3,naive,CP Minimax,0.0,840,76,764,0,1.0,0.5967864061691384,0.0099952476238119,0.9900047523761881
Abalone Gender,LDA,3,naive,DKW Sum,0.0,840,76,764,0,1.0,0.6430810996424017,0.0174914957478739,0.9825085042521261
Abalone Gender,LDA,3,naive,DKW Minimax,0.0,840,76,764,0,1.0,0.5633291862059457,0.0139932466233116,0.9860067533766884
Abalone Gender,LDA,3,split,CP Sum,0.0,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,LDA,3,split,CP Minimax,0.0,294,27,764,0,1.0,0.66763875571932,0.0204899949974987,0.9795100050025013
Abalone Gender,LDA,3,split,DKW Sum,0.0,294,27,764,0,1.0,0.0919038908480928,0.0109947473736868,0.9890052526263132
Abalone Gender,LDA,3,split,DKW Minimax,0.0,294,27,764,0,1.0,0.631410766460757,0.0304849924962481,0.9695150075037519
Abalone Gender,LDA,4,naive,CP Sum,0.0,840,76,764,0,1.0,0.0170551110583493,0.0014994997498749,0.998500500250125
Abalone Gender,LDA,4,naive,CP Minimax,0.0,840,76,764,0,1.0,0.5893030786577145,0.0094954977488744,0.9905045022511256
Abalone Gender,LDA,4,naive,DKW Sum,0.0,840,76,764,0,1.0,0.2188937177191693,0.0074964982491245,0.9925035017508755
Abalone Gender,LDA,4,naive,DKW Minimax,0.0,840,76,764,0,1.0,0.5439203360955844,0.0134934967483741,0.9865065032516259
Abalone Gender,LDA,4,split,CP Sum,-0.0006544502617801,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,LDA,4,split,CP Minimax,-0.0006544502617801,294,27,764,0,1.0,0.681312255493296,0.0214894947473736,0.9785105052526264
Abalone Gender,LDA,4,split,DKW Sum,-0.0006544502617801,294,27,764,0,1.0,0.2579525236573757,0.0139932466233116,0.9860067533766884
Abalone Gender,LDA,4,split,DKW Minimax,-0.0006544502617801,294,27,764,0,1.0,0.6458341139773269,0.0319842421210605,0.9680157578789395
Abalone Gender,LDA,5,naive,CP Sum,0.0,840,76,764,0,1.0,0.0170551110583493,0.0014994997498749,0.998500500250125
