dataset,model,seed,mode,n_cert,n_cert_minority,train_ratio,n_features,clf_fit_err,clf_test_err,optimism,method,fit,reason,Accuracy,G-Mean,F1,err_0,err_1,U_0,U_1,delta_0,delta_1,covered_0,covered_1,seconds
MIMIC-III Mortality,GradientBoosting,1,split,1277,116,10.021148036253777,19,0.34906912024852227,0.4658590308370044,0.11678991058848215,CP Minimax,True,,0.6178414096916299,0.6167715536340811,0.6312433581296493,0.4185022026431718,0.3458149779735683,0.47919396129105196,0.5030380503314444,0.005997248624312156,0.024487993996998504,True,True,1.453
MIMIC-III Mortality,GradientBoosting,1,split,1277,116,10.021148036253777,19,0.34906912024852227,0.4658590308370044,0.11678991058848215,DKW Sum,True,,0.6343612334801763,0.6112682055461156,0.5596816976127321,0.1960352422907489,0.5352422907488987,0.2579660986840223,0.6232324908698672,0.005997248624312156,0.04747648824412207,True,True,0.033
MIMIC-III Mortality,GradientBoosting,1,split,1277,116,10.021148036253777,19,0.34906912024852227,0.4658590308370044,0.11678991058848215,DKW Minimax,True,,0.6178414096916299,0.6170153570719461,0.6296691568836713,0.41409691629955947,0.3502202643171806,0.44583203797134835,0.45829823043926105,0.008495997998999501,0.03148449224612306,True,True,0.035
MIMIC-III Mortality,GradientBoosting,2,naive,3648,331,10.021148036253777,19,0.3702413730603219,0.4757709251101322,0.1055295520498103,Baseline,True,,0.5242290748898678,0.22941350777606237,0.1,0.004405286343612335,0.947136563876652,,,,,,,
MIMIC-III Mortality,GradientBoosting,2,naive,3648,331,10.021148036253777,19,0.3702413730603219,0.4757709251101322,0.1055295520498103,Threshold,True,,0.6255506607929515,0.6062512748037789,0.5572916666666666,0.22026431718061673,0.5286343612334802,,,,,,,
MIMIC-III Mortality,GradientBoosting,2,naive,3648,331,10.021148036253777,19,0.3702413730603219,0.4757709251101322,0.1055295520498103,SMOTE,True,,0.5451541850220264,0.3532754006491772,0.2222222222222222,0.039647577092511016,0.8700440528634361,,,,,,,
MIMIC-III Mortality,GradientBoosting,2,naive,3648,331,10.021148036253777,19,0.3702413730603219,0.4757709251101322,0.1055295520498103,Balanced Weights,False,,,,,,,,,,,,,
MIMIC-III Mortality,GradientBoosting,2,naive,3648,331,10.021148036253777,19,0.3702413730603219,0.4757709251101322,0.1055295520498103,Slacks Deltas,False,,,,,,,,,,,,,120.038
MIMIC-III Mortality,GradientBoosting,2,naive,3648,331,10.021148036253777,19,0.3702413730603219,0.4757709251101322,0.1055295520498103,Min Deltas,True,,0.6266519823788547,0.6076660988394719,0.5591677503250976,0.22026431718061673,0.526431718061674,,,,,,,8.516
MIMIC-III Mortality,GradientBoosting,2,naive,3648,331,10.021148036253777,19,0.3702413730603219,0.4757709251101322,0.1055295520498103,F Deltas,True,,0.6068281938325991,0.5488693326243007,0.46953937592867756,0.1343612334801762,0.6519823788546255,,,,,,,0.039
MIMIC-III Mortality,GradientBoosting,2,naive,3648,331,10.021148036253777,19,0.3702413730603219,0.4757709251101322,0.1055295520498103,CP Sum,True,,0.6255506607929515,0.6062512748037789,0.5572916666666666,0.22026431718061673,0.5286343612334802,0.2047036198937591,0.2958415100852926,0.0019992496248124065,0.008495997998999501,False,False,0.419
MIMIC-III Mortality,GradientBoosting,2,naive,3648,331,10.021148036253777,19,0.3702413730603219,0.4757709251101322,0.1055295520498103,CP Minimax,True,,0.6453744493392071,0.6383866408012968,0.6082725060827251,0.2599118942731278,0.44933920704845814,0.27133525214032095,0.26512587813149663,0.0019992496248124065,0.007996248124062032,True,False,0.413
MIMIC-III Mortality,GradientBoosting,2,naive,3648,331,10.021148036253777,19,0.3702413730603219,0.4757709251101322,0.1055295520498103,DKW Sum,True,,0.6255506607929515,0.6062512748037789,0.5572916666666666,0.22026431718061673,0.5286343612334802,0.2008317233348815,0.2777386266432454,0.002998749374687344,0.012493996998499252,False,False,0.121
MIMIC-III Mortality,GradientBoosting,2,naive,3648,331,10.021148036253777,19,0.3702413730603219,0.4757709251101322,0.1055295520498103,DKW Minimax,True,,0.6453744493392071,0.6383866408012968,0.6082725060827251,0.2599118942731278,0.44933920704845814,0.26163638877946094,0.2535694423532152,0.003498499249624813,0.012493996998499252,True,False,0.12
MIMIC-III Mortality,GradientBoosting,2,split,1277,116,10.021148036253777,19,0.3116279069767442,0.4625550660792952,0.150927159102551,Baseline,True,,0.5374449339207048,0.28097301707668676,0.14634146341463414,0.004405286343612335,0.920704845814978,,,,,,,
MIMIC-III Mortality,GradientBoosting,2,split,1277,116,10.021148036253777,19,0.3116279069767442,0.4625550660792952,0.150927159102551,Threshold,True,,0.6167400881057269,0.5529643448286592,0.4727272727272727,0.11013215859030837,0.6563876651982379,,,,,,,
MIMIC-III Mortality,GradientBoosting,2,split,1277,116,10.021148036253777,19,0.3116279069767442,0.4625550660792952,0.150927159102551,SMOTE,True,,0.566079295154185,0.3996750509168294,0.2757352941176471,0.03303964757709251,0.8348017621145375,,,,,,,
MIMIC-III Mortality,GradientBoosting,2,split,1277,116,10.021148036253777,19,0.3116279069767442,0.4625550660792952,0.150927159102551,Balanced Weights,False,,,,,,,,,,,,,
MIMIC-III Mortality,GradientBoosting,2,split,1277,116,10.021148036253777,19,0.3116279069767442,0.4625550660792952,0.150927159102551,Slacks Deltas,False,,,,,,,,,,,,,7.299
MIMIC-III Mortality,GradientBoosting,2,split,1277,116,10.021148036253777,19,0.3116279069767442,0.4625550660792952,0.150927159102551,Min Deltas,False,,,,,,,,,,,,,0.0
MIMIC-III Mortality,GradientBoosting,2,split,1277,116,10.021148036253777,19,0.3116279069767442,0.4625550660792952,0.150927159102551,F Deltas,False,,,,,,,,,,,,,0.0
MIMIC-III Mortality,GradientBoosting,2,split,1277,116,10.021148036253777,19,0.3116279069767442,0.4625550660792952,0.150927159102551,CP Sum,True,,0.6233480176211453,0.6188329813179869,0.5928571428571429,0.30176211453744495,0.45154185022026433,0.36299798840954645,0.5958305918757111,0.004997748874437219,0.02898574287143572,True,True,1.492
MIMIC-III Mortality,GradientBoosting,2,split,1277,116,10.021148036253777,19,0.3116279069767442,0.4625550660792952,0.150927159102551,CP Minimax,True,,0.6211453744493393,0.6192522780900644,0.6386554621848739,0.42731277533039647,0.3303964757709251,0.4922313376772214,0.4856458619640472,0.005997248624312156,0.023488494247123563,True,True,1.495
